"","Import_ISO3","Year","imports","unequal_imports","prop_unequal"
"3140","ISL",2003,64442.6356337758,10576.6977763926,0.164125779033921
"3141","ISL",2004,82629.6086400115,8287.56175677944,0.100297724909789
"3142","ISL",2005,67189.7358644854,887.714326923713,0.0132120526372382
"3143","ISL",2006,52048.6980878834,7109.33763902786,0.136590114646554
"3144","ISL",2007,53530.6313044271,3047.42367900081,0.0569285959224021
"3145","ISL",2008,66664.1068793088,12746.9605616387,0.191211750345899
"3146","ISL",2009,19978.9646826305,4459.35502573289,0.223202508066387
"3147","ISL",2010,45940.665955339,11070.7736660235,0.240979825516372
"3148","ISL",2011,56566.6116045709,24217.8618085948,0.428129971402386
"3149","ISL",2012,42275.0518019263,25081.8376660312,0.593301169293619
"3150","ISL",2013,45516.0023510552,32531.2212754682,0.714720528937533
"3151","ISL",2014,48045.2701099801,41070.8978490461,0.854837484627123
"3152","ISL",2015,52579.9395861119,33282.5723160999,0.632989930724283
"3153","ISR",1976,1122.59998559952,1122.59998559952,1
"3154","ISR",1977,2350.89998298883,2350.89998298883,1
"3155","ISR",1978,1473.49999685585,1473.49999685585,1
"3156","ISR",1979,2512.89995110035,2512.89995110035,1
"3157","ISR",1980,1793.59998643398,1793.59998643398,1
"3158","ISR",1981,182.200003802776,182.200003802776,1
"3159","ISR",1982,213.200004577637,213.200004577637,1
"3160","ISR",1983,1735.40001249313,1735.40001249313,1
"3161","ISR",1984,2385.69998180866,2385.69998180866,1
"3162","ISR",1985,953.299987792969,953.299987792969,1
"3163","ISR",1986,2667.50000762939,2667.50000762939,1
"3164","ISR",1988,319.600002288818,319.600002288818,1
"3165","ISR",1989,5087.00001950562,1099.69999313354,0.216178492022184
"3166","ISR",1990,1334.29999125004,380.300000905991,0.285018364235847
"3167","ISR",1991,11860.6000632644,9342.90000963211,0.787725744043062
"3168","ISR",1992,6216.19995179772,652.299988284707,0.104935490065126
"3169","ISR",1993,15811.5999315605,295.699997514486,0.0187014596115767
"3170","ISR",1994,17031.9999463707,7685.79996368289,0.451256457719789
"3171","ISR",1995,14071.6999813393,12936.0999891236,0.919299019043785
"3172","ISR",1996,20243.8999448866,19010.9999602884,0.939097704100757
"3173","ISR",1997,12881.2999437451,10361.1999668479,0.804359809343548
"3174","ISR",1998,25355.5004093051,4125.90001285821,0.162722089734189
"3175","ISR",1999,18955.5000423416,2429.80001702905,0.128184432571101
"3176","ISR",2000,17003.1001571491,15321.400180012,0.901094508554661
"3177","ISR",2001,15938.0001017824,11889.4000958055,0.745978166638103
"3178","ISR",2002,18846.2999419421,2060.19998568296,0.109315886515105
"3179","ISR",2003,8416.89999148995,2826.00001835078,0.335753070751471
"3180","ISR",2004,14744.6000486016,4048.80006341636,0.274595448507967
"3181","ISR",2005,19402.299806647,5184.09997420758,0.267189973656193
"3182","ISR",2006,7237.40005170554,4730.70005324483,0.653646339769488
"3183","ISR",2007,18957.4997789413,13256.0998822898,0.699253595509212
"3184","ISR",2008,16394.3000354022,12662.1999889985,0.772353803557057
"3185","ISR",2009,14469.1000357866,6137.30007135123,0.424165985180264
"3186","ISR",2010,15838.4000779018,2360.50001235306,0.149036518887189
"3187","ISR",2011,20989.0999836326,20089.7999929041,0.957153951744964
"3188","ISR",2012,28535.5719662989,25532.9999659359,0.894777928267602
"3189","ISR",2013,40414.7969588079,39266.3066108301,0.971582429347639
"3190","ISR",2014,23584.7696802784,20147.9000682533,0.85427588826958
"3191","ISR",2015,25330.0680903663,19804.2621061429,0.781847961698731
"3192","ITA",1976,63664.4998476207,61579.5998803452,0.967251765548057
"3193","ITA",1977,64691.4000197873,55682.500123404,0.860740378263143
"3194","ITA",1978,63172.8000476435,62577.0000511482,0.990568725843307
"3195","ITA",1979,51301.1999279559,47941.4999448657,0.934510304090191
"3196","ITA",1980,49452.2999081537,49341.6999081448,0.997763501389938
"3197","ITA",1981,53591.599944137,49641.1000384986,0.926285091138232
"3198","ITA",1982,42889.3998675495,42868.7998678833,0.999519694849314
"3199","ITA",1983,36795.8001486138,32472.6001170501,0.882508329371755
"3200","ITA",1984,50232.5000217706,50220.5000217706,0.999761110834723
"3201","ITA",1985,40063.2999577001,40063.2999577001,1
"3202","ITA",1986,27886.4999575764,26706.9999575764,0.957703548247562
"3203","ITA",1987,31857.2997042611,23648.7998703867,0.742335354531744
"3204","ITA",1988,53781.900007993,51533.5000062883,0.958194113607542
"3205","ITA",1989,170199.499586113,12969.2001008168,0.0761999896142761
"3206","ITA",1990,85753.6001671031,21456.1001706868,0.250206406831627
"3207","ITA",1991,168840.899828039,7753.40001793951,0.0459213379331441
"3208","ITA",1992,104307.400018245,11909.9000294805,0.114180777465427
"3209","ITA",1993,212828.599988647,32823.399889186,0.154224572688713
"3210","ITA",1994,247945.69971884,28138.2997416258,0.113485734068118
"3211","ITA",1995,239624.200112499,2080.19998899847,0.00868109309502903
"3212","ITA",1996,374457.399351597,167283.999297984,0.446737064316661
"3213","ITA",1997,332476.998827085,100702.800213061,0.302886517167568
"3214","ITA",1998,281618.399905831,28919.2999680787,0.102689667925636
"3215","ITA",1999,241310.499984697,8328.30002259463,0.0345127958506687
"3216","ITA",2000,279972.200372413,57371.1998058856,0.204917487270421
"3217","ITA",2001,301199.300088912,94124.9995813444,0.312500724781098
"3218","ITA",2002,346382.300467603,37482.2001365125,0.108210494837389
"3219","ITA",2003,343655.999203578,127486.199983783,0.370970389806179
"3220","ITA",2004,318934.899751894,46749.0000141412,0.146578502542394
"3221","ITA",2005,347378.699772894,103003.300253302,0.296515878263815
"3222","ITA",2006,334467.299720831,105802.199555136,0.316330474289851
"3223","ITA",2007,314869.4007589,13074.6999759227,0.0415242000156573
"3224","ITA",2008,330120.799700439,53421.8998676166,0.161825307330205
"3225","ITA",2009,382701.600359179,132183.299939044,0.345395210824792
"3226","ITA",2010,396223.199249275,47323.7996290177,0.119437225580638
"3227","ITA",2011,390936.400379866,217215.99957592,0.555630019012953
"3228","ITA",2012,313449.400113449,150699.500250317,0.480777759331406
"3229","ITA",2013,358991.199282482,138736.699365184,0.386462675526524
"3230","ITA",2014,320264.512081668,116203.100340158,0.362834769250131
"3231","ITA",2015,317900.088805462,81884.3963946207,0.257579029632576
"3232","JAM",1976,3.9000000981614,NA,NA
"3233","JAM",1977,0.153333339840174,NA,NA
"3234","JAM",1978,1.95333343464881,NA,NA
"3235","JAM",1979,1.0266667176038,NA,NA
"3236","JAM",1981,5.09999997506384,NA,NA
"3237","JAM",1986,10.1333334948868,NA,NA
"3238","JAM",1989,1599.40000496805,NA,NA
"3239","JAM",1990,33.2999996989965,NA,NA
"3240","JAM",1991,5192.5999483224,NA,NA
"3241","JAM",1992,1272.99999604281,NA,NA
"3242","JAM",1993,5762.000032112,129.300000786781,0.0224401249680986
"3243","JAM",1994,2087.99998981506,NA,NA
"3244","JAM",1995,4140.69998884201,NA,NA
"3245","JAM",1996,4871.1999538308,NA,NA
"3246","JAM",1997,2136.00001899898,494.000003866851,0.231273407992927
"3247","JAM",1998,1503.00001327693,7.79999971389771,0.00518962052228573
"3248","JAM",1999,3497.80003384501,0.600000016391277,0.000171536397331359
"3249","JAM",2000,3626.80000814423,444.499998509884,0.122559831673025
"3250","JAM",2001,6937.59990257677,2.93333339691162,0.000422816743269113
"3251","JAM",2002,8058.19995599985,1.79999995231628,0.000223374942560971
"3252","JAM",2003,6377.19997541793,NA,NA
"3253","JAM",2004,3671.9000353571,NA,NA
"3254","JAM",2005,6543.10010365397,NA,NA
"3255","JAM",2006,2923.3199999854,NA,NA
"3256","JAM",2007,9431.42659035046,0.453333355486393,0.0000480662549979672
"3257","JAM",2008,11700.1396537903,NA,NA
"3258","JAM",2009,8487.1656261374,NA,NA
"3259","JAM",2010,7663.79665408644,0.0600000023841858,0.00000782901805623887
"3260","JAM",2011,4591.53167038644,0.0400000018998981,0.00000871169029670039
"3261","JAM",2012,4920.14635332802,6.5,0.00132109891316614
"3262","JAM",2013,13177.3664775105,NA,NA
"3263","JAM",2014,9900.61164282559,NA,NA
"3264","JAM",2015,12651.0213951846,NA,NA
"3265","JOR",1976,4008.59997842461,NA,NA
"3266","JOR",1977,5002.99996579415,NA,NA
"3267","JOR",1978,4958.99999967031,NA,NA
"3268","JOR",1979,4253.81997571979,NA,NA
"3269","JOR",1980,4514.97997859959,NA,NA
"3270","JOR",1981,4857.99997603893,NA,NA
"3271","JOR",1982,5119.03336107731,NA,NA
"3272","JOR",1983,6113.39999302663,NA,NA
"3273","JOR",1984,5416.39987833798,NA,NA
"3274","JOR",1985,6491.79999972461,NA,NA
"3275","JOR",1986,5288.86669237912,NA,NA
"3276","JOR",1987,9912.64033171581,NA,NA
"3277","JOR",1988,5929.25331686623,NA,NA
"3278","JOR",1989,616.999996312894,NA,NA
"3279","JOR",1990,345.75467069773,NA,NA
"3280","JOR",1991,3740.55664531514,NA,NA
"3281","JOR",1992,4972.83338935627,NA,NA
"3282","JOR",1993,6785.96674587205,NA,NA
"3283","JOR",1994,1584.69998888578,NA,NA
"3284","JOR",1995,976.780001140665,NA,NA
