country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
KEN,2015,1976,39,185.230664807185,171.211998058111,0.91574933386991,1980
KEN,2015,1976,39,143.305332251079,128.173332169838,0.8909950945964,1981
KEN,2015,1976,39,87.9533327994868,75.5813327336684,0.803601933488674,1982
KEN,2015,1976,39,270.179998004064,201.983730917797,0.754004340334086,1983
KEN,2015,1976,39,318.666664274968,243.690397338755,0.748846185494076,1984
KEN,2015,1976,39,288.791997834108,220.141064286232,0.762428977017508,1985
KEN,2015,1976,39,292.15066405721,224.313063865714,0.779439857773371,1986
KEN,2015,1976,39,360.27999678906,278.024663185468,0.853756528267248,1987
KEN,2015,1976,39,102.371665376471,90.6216655741445,0.918595793276541,1988
KEN,2015,1976,39,32.8049992849119,25.1216659441125,0.747327453348704,1989
KEN,2015,1976,39,177.433328601532,21.1666659386828,0.531374145521103,1990
KEN,2015,1976,39,160.149995993823,3.84999997541309,0.348360212769046,1991
KEN,2015,1976,39,428.399989336542,37.6999999774621,0.301746649539228,1992
KEN,2015,1976,39,519.053321750275,47.3733335522936,0.128676339166568,1993
KEN,2015,1976,39,745.933323778026,57.3733335344122,0.10178366716777,1994
KEN,2015,1976,39,1131.97332989406,57.6333335442469,0.101733164640942,1995
KEN,2015,1976,39,2111.59200456943,412.833333681337,0.129780965232984,1996
KEN,2015,1976,39,2094.82134832907,401.78533334285,0.123351214942174,1997
KEN,2015,1976,39,2546.96134735551,871.551997220515,0.275523712661238,1998
KEN,2015,1976,39,4385.50135193076,2622.01200544536,0.436071618156617,1999
KEN,2015,1976,39,4820.34135690685,3235.51201280206,0.566481270717944,2000
KEN,2015,1976,39,4133.44268362652,3013.33201480359,0.584732164095503,2001
KEN,2015,1976,39,4656.4400095541,3783.02001069933,0.764818485961539,2002
KEN,2015,1976,39,6517.63200547919,5423.72000185551,0.764497514618349,2003
KEN,2015,1976,39,6401.50507151895,5171.77465901712,0.748828415836402,2004
KEN,2015,1976,39,7430.60754304136,5950.41585783028,0.759678288747693,2005
KEN,2015,1976,39,8522.66887073777,7008.56251663977,0.840889067289321,2006
KEN,2015,1976,39,8253.38220450691,6235.90252146685,0.651843127940282,2007
KEN,2015,1976,39,6490.5263421364,4493.50386436973,0.593487589058982,2008
KEN,2015,1976,39,6150.09993436522,4190.48920023795,0.588510397804939,2009
KEN,2015,1976,39,5565.47744683938,3163.1679955272,0.499842331948815,2010
KEN,2015,1976,39,5157.21611367853,2478.10133061391,0.431487686164742,2011
KEN,2015,1976,39,6683.57612183054,3323.00799219292,0.507702568471836,2012
KEN,2015,1976,39,8056.96664500769,3168.886660633,0.41200483332851,2013
KEN,2015,1976,39,8052.57497512097,2452.85832422291,0.32821506056681,2014
