"","ISO3","imports","unequal_imports","Total_fished","disp_fished","unequal_fish","unequal_fish_hs","unequal_fishing_in_waters","unequal_fish_eez","Total_fished_fmi_wadj","disp_fished_fmi_wadj","coi_disp_fished_fmi_wadj","unequal_fish_fmi_wadj","unequal_fish_hs_fmi_wadj","unequal_fishing_in_waters_fmi_wadj","unequal_fish_eez_fmi_wadj","Total_fished_fmi","disp_fished_fmi","coi_disp_fished_fmi","unequal_fish_fmi","unequal_fish_hs_fmi","unequal_fishing_in_waters_fmi","unequal_fish_eez_fmi","ME_score","ME_quant","FMI_weight_adj","FMI","Country.Name"
"71","GEO",9538.18868110276,9078.03554651676,38988.6447786,31662.65801,31662.65801,10223.84426,NA,21438.81375,38988.6447786,31662.65801,NA,NA,0,NA,NA,38988.6447786,31662.65801,NA,NA,0,NA,NA,68,5,NA,NA,"Georgia"
"72","GHA",153944.360241696,225.166666974624,252293.747332,61842.301672,61842.301672,61842.301672,NA,0,252293.747332,61842.301672,NA,NA,0,NA,NA,252293.747332,61842.301672,NA,NA,0,NA,NA,52,1,NA,NA,"Ghana"
"73","GIN",253.780000071973,57.43466668576,94063.2237984172,2915.1442164172,2833.9741568102,2833.9406474,76116.5805387,0.0335094102000767,94063.2237984172,2915.1442164172,NA,NA,0,NA,NA,94063.2237984172,2915.1442164172,NA,NA,0,NA,NA,54,1,NA,NA,"Guinea"
"74","GMB",955.120007314346,687.358342707857,39564.5934806852,337.6274006852,337.61876238,337.61876238,NA,0,39564.5934806852,337.6274006852,NA,NA,0,NA,NA,39564.5934806852,337.6274006852,NA,NA,0,NA,NA,61,3,NA,NA,"Gambia"
"75","GNB",1608.87693326857,1181.73346741025,6481.5990199392,5.4530169392,5.4530169392,5.4530169392,100497.38775234,0,6481.5990199392,5.4530169392,NA,NA,0,NA,NA,6481.5990199392,5.4530169392,NA,NA,0,NA,NA,58,2,NA,NA,"Guinea-Bissau"
"76","GNQ",740.260006347299,230.024998687208,5456.59856,NA,NA,0,NA,NA,5456.59856,NA,NA,NA,0,NA,NA,5456.59856,NA,NA,NA,0,NA,NA,60,3,NA,NA,"Equatorial Guinea"
"77","GRC",53223.5774248182,26573.6839257414,78617.08412132,16574.83171932,8715.9942289622,1.7176196902,3345.6709829,8714.276609272,78617.08412132,16574.83171932,NA,NA,0,NA,NA,78617.08412132,16574.83171932,NA,NA,0,NA,NA,64,4,NA,NA,"Greece"
"78","GRD",88.7600006192923,NA,2348.69998,1533.062812,1533.062812,1533.062812,NA,0,2348.69998,1533.062812,NA,NA,0,NA,NA,2348.69998,1533.062812,NA,NA,0,NA,NA,59,2,NA,NA,"Grenada"
"79","GRL",320.139998337021,253.473332224554,215662.07338612,17853.01322612,17074.4173829,3104.7794377,9244.204789,13969.6379452,215662.07338612,17853.01322612,NA,NA,0,NA,NA,215662.07338612,17853.01322612,NA,NA,0,NA,NA,71,5,NA,NA,"Greenland"
"80","GTM",9557.40002743368,NA,18294.7720808,16489.37273,NA,0,NA,NA,18294.7720808,16489.37273,NA,NA,0,NA,NA,18294.7720808,16489.37273,NA,NA,0,NA,NA,49,1,NA,NA,"Guatemala"
"81","GUY",192.527999896323,0.300000011920929,43518.79722,NA,NA,0,NA,NA,43518.79722,NA,NA,NA,0,NA,NA,43518.79722,NA,NA,NA,0,NA,NA,59,2,NA,NA,"Guyana"
"82","HKG",228693.158762817,NA,161791.663918,118033.82928,NA,0,NA,NA,161791.663918,118033.82928,NA,NA,0,NA,NA,161791.663918,118033.82928,NA,NA,0,NA,NA,NA,NA,NA,NA,"Hong Kong SAR China"
"83","HND",3915.72714011092,133.596668367041,13330.55436,5226.2085364,5226.2085364,5226.2085364,NA,0,13330.55436,5226.2085364,NA,NA,0,NA,NA,13330.55436,5226.2085364,NA,NA,0,NA,NA,57,2,NA,NA,"Honduras"
"84","HRV",17337.6252675649,65.5,53556.20092,NA,NA,0,58143.2016605846,NA,53556.20092,NA,NA,NA,0,NA,NA,53556.20092,NA,NA,NA,0,NA,NA,52,1,NA,NA,"Croatia"
"85","HTI",2506.10665904134,NA,14353.8788,NA,NA,0,NA,NA,14353.8788,NA,NA,NA,0,NA,NA,14353.8788,NA,NA,NA,0,NA,NA,57,2,NA,NA,"Haiti"
"86","HUN",4136.00333054604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hungary"
"87","IDN",97931.8397466631,25.80000038445,4893316.70764,458847.69924,458847.69924,458847.69924,NA,0,4893316.70764,458847.69924,458847.69924,NA,0,NA,NA,4893316.70764,458847.69924,458847.69924,NA,0,NA,NA,55,2,43,42,"Indonesia"
"88","IND",7088.12002421766,807.879997204244,3165163.58146356,1055240.14406356,827518.13164356,359885.0106,NA,467633.12104356,3165163.58146356,1055240.14406356,359885.0106,NA,0,NA,NA,3165163.58146356,1055240.14406356,359885.0106,NA,0,NA,NA,59.5,2,46,45,"India"
"89","IRL",22712.7057735685,2737.34219935371,252021.726599591,139447.216251725,18088.7399819414,7101.067346,396794.1713934,10987.6726359414,252021.726599591,139447.216251725,NA,NA,0,NA,NA,252021.726599591,139447.216251725,NA,NA,0,NA,NA,64,4,NA,NA,"Ireland"
"90","IRN",19973.2999452159,1997.16000201106,358294.395016922,282257.141738922,282257.141738922,135718.68124,NA,146538.460498922,358294.395016922,282257.141738922,NA,NA,0,NA,NA,358294.395016922,282257.141738922,NA,NA,0,NA,NA,69,5,NA,NA,"Iran"
"91","IRQ",4146.23998389095,6834.44997010006,5984.5163398178,5923.3809833258,3535.7774529058,104.410138934,3451.6835933246,3431.3673139718,5984.5163398178,5923.3809833258,NA,NA,0,NA,NA,5984.5163398178,5923.3809833258,NA,NA,0,NA,NA,57,2,NA,NA,"Iraq"
"92","ISL",48574.3390844596,11108.4749481981,1403451.39292596,426228.668465965,36094.6262396926,19140.30769,245559.65638732,16954.3185496926,1403451.39292596,426228.668465965,239421.4111012,239421.4111012,19140.30769,NA,220281.1034112,1403451.39292596,426228.668465965,239421.4111012,239421.4111012,19140.30769,NA,220281.1034112,68,5,90,90,"Iceland"
"93","ISR",17330.7399823711,11127.6599896088,2360.5995798948,1765.1471048348,1689.325130126,72.770713868,4.29896219333333,1616.554416258,2360.5995798948,1765.1471048348,NA,NA,0,NA,NA,2360.5995798948,1765.1471048348,NA,NA,0,NA,NA,69,5,NA,NA,"Israel"
"94","ITA",362971.34008957,92643.9397975042,353067.534551852,220828.339771852,175299.151599695,69085.797132,7948.171076882,106213.354467695,353067.534551852,220828.339771852,NA,NA,0,NA,NA,353067.534551852,220828.339771852,NA,NA,0,NA,NA,61,3,NA,NA,"Italy"
"95","JAM",8374.81203895021,0.184444453256826,15333.0783,NA,NA,0,NA,NA,15333.0783,NA,NA,NA,0,NA,NA,15333.0783,NA,NA,NA,0,NA,NA,59,2,NA,NA,"Jamaica"
"96","JOR",9054.03109152079,5.52533334940671,162.21008,NA,NA,0,243.0990221958,NA,162.21008,NA,NA,NA,0,NA,NA,162.21008,NA,NA,NA,0,NA,NA,53,1,NA,NA,"Jordan"
"97","JPN",1098993.6195223,184870.720416704,4101960.29580389,1991698.33800389,625521.440336375,622460.11796,308791.9444,3061.3223763746,4101960.29580389,1991698.33800389,1987238.9104488,622823.850567,622460.11796,308791.9444,363.732606999995,4101960.29580389,1991698.33800389,1987238.9104488,622823.850567,622460.11796,308791.9444,363.732606999995,56,2,61,63,"Japan"
"98","KAZ",24607.3364668207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kazakhstan"
"99","KEN",6150.09993436521,4190.48920023795,7607.84378,5065.6033942,5065.6033942,5065.6033942,NA,0,7607.84378,5065.6033942,NA,NA,0,NA,NA,7607.84378,5065.6033942,NA,NA,0,NA,NA,65,4,NA,NA,"Kenya"
"100","KGZ",1460.1014032385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kyrgyzstan"
"101","KHM",753.300000986457,291.459998230636,81086.604168206,7224.591950206,6629.4399368,6629.4399368,NA,0,81086.604168206,7224.591950206,NA,NA,0,NA,NA,81086.604168206,7224.591950206,NA,NA,0,NA,NA,68,5,NA,NA,"Cambodia"
"102","KIR",221.119999366999,93.2499997057018,41376.1923778,31336.714404,31336.714404,31336.714404,2745.7866491882,0,41376.1923778,31336.714404,NA,NA,0,NA,NA,41376.1923778,31336.714404,NA,NA,0,NA,NA,60,3,NA,NA,"Kiribati"
"103","KNA",268.54540022281,32.6675838324009,11453.2424003586,17015.669946831,17015.669946831,0,NA,17015.669946831,11453.2424003586,17015.669946831,NA,NA,0,NA,NA,11453.2424003586,17015.669946831,NA,NA,0,NA,NA,66,4,NA,NA,"St. Kitts & Nevis"
"104","KOR",476131.650355553,351695.744566413,1927783.79795896,1651002.46021896,954618.801332746,511197.15626,NA,443421.645072746,1927783.79795896,1651002.46021896,1519782.32972,1207420.41842,511197.15626,158395.66676,696223.26216,1927783.79795896,1651002.46021896,1519782.32972,1207420.41842,511197.15626,158395.66676,696223.26216,72,5,67,68,"South Korea"
"105","KWT",4550.12822889245,1320.60820574488,4694.19876,2510.95995,2510.95995,2510.95995,5309.1155210898,0,4694.19876,2510.95995,NA,NA,0,NA,NA,4694.19876,2510.95995,NA,NA,0,NA,NA,68,5,NA,NA,"Kuwait"
