country,max_yr,min_yr,total_years,mov_avg_fished,mov_avg_disp,mov_avg_unequal,mov_avg_unequal_hs,mov_avg_unequal_eez,mov_avg_unequal_fishing_in_waters,mov_avg_prop_disp,mov_avg_prop_unequal,time
DNK,2015,1976,39,1812826.14499358,680937.516973576,181021.726052576,1712.132794062,179309.593258514,53140.5940362,0.374788244928195,0.272783226914691,1979
DNK,2015,1976,39,1835486.18072203,663406.934922034,194393.836776634,1872.38063942,192521.456137214,53554.2026534,0.360188469602963,0.295343125546456,1980
DNK,2015,1976,39,1858656.09645066,692360.03525066,200699.40456546,4267.737891806,196431.666673654,47065.94431964,0.371887931236378,0.291614188346397,1981
DNK,2015,1976,39,1880043.46119608,695608.836796082,203171.132621908,4602.910190234,198568.222431674,42531.08356864,0.369441485960421,0.293878817887879,1982
DNK,2015,1976,39,1826628.48639993,656759.507799928,202370.015188954,4500.361480434,197869.65370852,40282.50033984,0.359192887554968,0.309707964232985,1983
DNK,2015,1976,39,1824348.7941133,661867.097713302,201300.524071288,4722.61559314,196577.908478148,41359.36339978,0.36242958449301,0.305696561452911,1984
DNK,2015,1976,39,1779648.22748709,656964.335087094,193528.71619469,5182.7449432,188345.97125149,41409.27129778,0.369618919877469,0.296543506950764,1985
DNK,2015,1976,39,1800590.61066393,685413.798663934,207307.35211893,3200.4433292,204106.90878973,44418.58958874,0.380166562932833,0.303136114893612,1986
DNK,2015,1976,39,1813984.51505936,691051.08845936,203334.92380873,3109.3086524,200225.61515633,48233.78266274,0.380682289313611,0.294334831554785,1987
DNK,2015,1976,39,1760000.50300089,669271.906620894,193492.788675504,1645.9655155,191846.823160004,50943.77640954,0.378439648062223,0.289432438891508,1988
DNK,2015,1976,39,1744892.75952144,648991.68094144,187401.15194521,1714.5404697,185686.61147551,53454.095335,0.36994064818211,0.288916253707883,1989
DNK,2015,1976,39,1798357.59360578,632844.37982578,190808.534832912,1551.6829903,189256.851842612,54664.0575476,0.350232962694162,0.300569457131809,1990
DNK,2015,1976,39,1707582.96221398,567962.17895398,161178.502026712,1435.5677305,159742.934296212,56388.986818,0.333078201928332,0.283707577110957,1991
DNK,2015,1976,39,1696233.42608548,545591.29722548,156380.784120872,1384.69455468,154996.089566192,59530.60326498,0.323043334663564,0.286608075744296,1992
DNK,2015,1976,39,1800913.25523051,582242.400950506,159458.290783738,1443.38001966,158014.910764078,59529.83480838,0.324037946787958,0.273809191568182,1993
DNK,2015,1976,39,1787564.14451641,597400.652036406,167879.763907024,1352.45355766,166527.310349364,58468.28459658,0.335600040181948,0.280341130023623,1994
DNK,2015,1976,39,1763036.52284705,609855.839567054,180944.2090783,1151.45808786,179792.75099044,63570.3711783396,0.346690238282325,0.294177216942911,1995
DNK,2015,1976,39,1776886.57284765,621349.863747654,196432.8115267,1088.18445866,195344.62706804,64078.445074277,0.350979361407686,0.316362729637652,1996
DNK,2015,1976,39,1691150.09349029,609788.144690294,199922.58889228,1298.29281188,198624.2960804,60126.421048329,0.361097349872221,0.330486478786652,1997
DNK,2015,1976,39,1599270.58555051,614489.258130513,211412.9659109,1818.2734318,209594.6924791,57754.236206929,0.384310428022523,0.345338061439764,1998
DNK,2015,1976,39,1565136.85455322,644485.298373222,237811.395508663,1847.5440786,235963.851430063,58369.697407389,0.412717559744475,0.36699034459457,1999
DNK,2015,1976,39,1488371.83154704,599594.152827039,215081.14152528,1839.0710684,213242.07045688,53341.9725788294,0.401423444723874,0.352815421398461,2000
DNK,2015,1976,39,1383082.43637163,565086.961891634,199252.440057674,2185.078992,197067.361065674,45608.421073892,0.405689833290571,0.343391386309244,2001
DNK,2015,1976,39,1320217.47389669,545671.780476686,183198.439736926,1915.82979596,181282.609940966,39970.8734291,0.408129600012841,0.321034535575283,2002
DNK,2015,1976,39,1195636.40524238,472097.511662379,155819.895938338,1375.04407024,154444.851868098,35040.75380366,0.389194482752453,0.311090611885948,2003
DNK,2015,1976,39,1071498.41415062,389576.557690615,112031.424049815,1532.69296164,110498.731088175,26731.50636576,0.368656194457183,0.287333587588623,2004
DNK,2015,1976,39,927615.360086598,364310.316306598,117324.987241798,2206.18582604,115118.801415758,21187.31588736,0.396708887532763,0.32575762352967,2005
DNK,2015,1976,39,875661.439438304,352733.761818304,121310.208224704,1952.33965304,119357.868571664,21629.57923672,0.40804448447906,0.347465978377158,2006
DNK,2015,1976,39,830170.781256672,345300.916616672,134790.195502872,2073.85539128,132716.340111592,22303.95059558,0.418593311762092,0.390413231601692,2007
DNK,2015,1976,39,844519.36696526,387921.78446526,168847.81453186,3307.1749814,165540.63955046,25705.16993882,0.456773340534654,0.431618787782939,2008
DNK,2015,1976,39,839086.99891522,407745.37793522,194786.66318262,3183.0407402,191603.62244242,29935.15843086,0.482452280389597,0.474136457052894,2009
DNK,2015,1976,39,816692.235821097,424794.743801097,198148.95978402,2362.02483836,195786.93494566,29317.52607166,0.527188295570266,0.462360284537361,2010
DNK,2015,1976,39,813273.859826512,433696.970826512,189406.46389078,2870.71145716,186535.75243362,28432.5694365,0.541046893376343,0.430496138138874,2011
DNK,2015,1976,39,810955.932880573,448763.243800572,178443.67361864,4082.14433536,174361.52928328,30090.49236246,0.559893112626674,0.388789537331369,2012
DNK,2015,1976,39,806944.247277093,434078.614437092,163684.59421214,4335.83748296,159348.75672918,30952.8678442,0.546913953038745,0.37235275758925,2013
DNK,2015,1976,39,793721.045818191,425724.154668191,144019.95250075,5087.6427742,138932.30972655,29524.5973235,0.547716555160961,0.33584469056752,2014
DNK,2015,1976,39,855073.01951986,429392.026486526,133304.889386067,6609.10214266667,126695.7872434,31647.3774676667,0.503541015711327,0.306199465897489,2015
DOM,2015,1976,39,5002.66726673333,695.2867422,695.2867422,,,3354.540232838,0.156914341747496,1,1976
DOM,2015,1976,39,5434.24985005,1111.4972841,1111.4972841,,,3354.540232838,0.191973917112445,1,1977
DOM,2015,1976,39,5953.79776004,1621.94518573333,1621.94518573333,,,3354.540232838,0.23766241207304,1,1978
DOM,2015,1976,39,6471.99688004,1621.94518573333,1621.94518573333,,,,0.23766241207304,1,1979
DOM,2015,1976,39,7912.79800004,1621.94518573333,1621.94518573333,,,,0.23766241207304,1,1980
DOM,2015,1976,39,9187.2005,2085.2744075,2085.2744075,,,,0.278036447235813,1,1981
DOM,2015,1976,39,10398.0016,2642.840989,2642.840989,,,,0.329039401994231,1,1982
DOM,2015,1976,39,11917.80476,,,,,,,,1983
DOM,2015,1976,39,13339.00608,,,,,,,,1984
DOM,2015,1976,39,14707.00768,,,,,,,,1985
DOM,2015,1976,39,14830.60642,,,,,,,,1986
DOM,2015,1976,39,16228.40722,,,,,,,,1987
DOM,2015,1976,39,16740.00696,,,,,,,,1988
DOM,2015,1976,39,16743.80656,,,,,,,,1989
DOM,2015,1976,39,15460.8043,,,,,,,,1990
DOM,2015,1976,39,15340.60428,,,,,,,,1991
DOM,2015,1976,39,15197.80326,,,,,,,,1992
DOM,2015,1976,39,14713.60254,,,,,,,,1993
DOM,2015,1976,39,14013.60296,,,,,,,,1994
DOM,2015,1976,39,14344.00276,,,,,,,,1995
DOM,2015,1976,39,13995.20262,,,,,,,,1996
DOM,2015,1976,39,11744.40254,,,,,,,,1997
DOM,2015,1976,39,10756.4027,,,,,,,,1998
DOM,2015,1976,39,10647.00312,,,,,,,,1999
DOM,2015,1976,39,10985.20286,,,,,,,,2000
DOM,2015,1976,39,12488.20436,,,,,,,,2001
DOM,2015,1976,39,13376.00536,,,,,,,,2002
DOM,2015,1976,39,13110.20568,,,,,,,,2003
DOM,2015,1976,39,12907.40584,,,,,,,,2004
DOM,2015,1976,39,12321.20652,,,,,,,,2005
DOM,2015,1976,39,11737.80612,,,,,,,,2006
DOM,2015,1976,39,12049.40546,,,,,,,,2007
DOM,2015,1976,39,12977.60508,,,,,,,,2008
DOM,2015,1976,39,13375.00374,,,,,,,,2009
DOM,2015,1976,39,13471.60322,,,,,,,,2010
DOM,2015,1976,39,13261.4019,,,,,,,,2011
DOM,2015,1976,39,13089.20144,,,,,,,,2012
DOM,2015,1976,39,12393.00172,,,,,,,,2013
DOM,2015,1976,39,12233.2514,,,,,,,,2014
DOM,2015,1976,39,12074.001,,,,,,,,2015
DZA,2015,1976,39,37579.9991666667,,,,,52.51844615,,,1976
DZA,2015,1976,39,37854.4985,,,,,52.51844615,,,1977
DZA,2015,1976,39,39883.59812,,,,,52.51844615,,,1978
DZA,2015,1976,39,44059.1976,,,,,,,,1979
DZA,2015,1976,39,48264.19744,,,,,,,,1980
DZA,2015,1976,39,54435.59746,,,,,,,,1981
DZA,2015,1976,39,59799.99752,,,,,,,,1982
DZA,2015,1976,39,63399.9981,,,,,,,,1983
DZA,2015,1976,39,65252.19848,,,,,,,,1984
DZA,2015,1976,39,71170.5976,,,,,,,,1985
DZA,2015,1976,39,79457.39728,,,,,,,,1986
DZA,2015,1976,39,86194.19738,,,,,,,,1987
DZA,2015,1976,39,91032.5977,,,,,,,,1988
DZA,2015,1976,39,93918.39738,,,,,,,,1989
DZA,2015,1976,39,94153.19834,,,,,,,,1990
DZA,2015,1976,39,93245.1989,,,,,,,,1991
DZA,2015,1976,39,100488.79886,,,,,,,,1992
DZA,2015,1976,39,103624.7977,,,,,,,,1993
DZA,2015,1976,39,104084.59714,,,,,,,,1994
DZA,2015,1976,39,103347.39752,,,,,,,,1995
DZA,2015,1976,39,101432.99716,,,,,,,,1996
DZA,2015,1976,39,94831.79636,,,,,,,,1997
DZA,2015,1976,39,96288.79664,,,,,,,,1998
DZA,2015,1976,39,106615.59676,,,,,,,,1999
DZA,2015,1976,39,115163.59648,,,,,,,,2000
DZA,2015,1976,39,124890.5957,,,,,,,,2001
DZA,2015,1976,39,127103.79642,,,,,,,,2002
DZA,2015,1976,39,129724.19622,,,,,,,,2003
DZA,2015,1976,39,132151.9961,,,,,,,,2004
DZA,2015,1976,39,134760.39486,,,,,,,,2005
DZA,2015,1976,39,134341.1949,,,,,,,,2006
DZA,2015,1976,39,137203.99442,,,,,,,,2007
DZA,2015,1976,39,130644.79438,,,,,,,,2008
DZA,2015,1976,39,121852.19392,,,,,,,,2009
DZA,2015,1976,39,113491.39404,,,,,,,,2010
DZA,2015,1976,39,105918.7944,,,,,,,,2011
DZA,2015,1976,39,99914.99412,,,,,,,,2012
DZA,2015,1976,39,100483.7941,,,,,,,,2013
DZA,2015,1976,39,100154.99415,,,,,,,,2014
DZA,2015,1976,39,98353.9945333333,,,,,,,,2015
