"","Fishing_ISO3","Fishing_ME","avg_Fished_ME","med_Fished_ME","avg_diff_me","med_diff_me","Fishing_FMI","avg_Fished_FMI","med_Fished_FMI","avg_diff_fmi","med_diff_fmi","Fishing_FMI_wadj","avg_Fished_FMI_wadj","med_Fished_FMI_wadj","avg_diff_fmi_wadj","med_diff_fmi_wadj"
"86","NOR",69,63.3,65.75,5.7,3.25,89,70.5,74.5,18.5,14.5,88,69.5,73,18.5,15
"87","NRU",54,47,48,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","NZL",71,52,52,19,19,83,49,49,34,34,83,49,49,34,34
"89","PAK",62,49,49,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","PAN",57.5,49,49,8.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","PER",68,49,49,19,19,62,49,49,13,13,63,49,49,14,14
"92","PHL",64,54.3333333333333,54,9.66666666666667,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","POL",67,60.1159420289855,62.6666666666667,6.88405797101449,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","PRI",67,49,49,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","PRT",63,55.3333333333333,54,7.66666666666667,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","PYF",65,49,49,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","REU",55,49,49,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","ROU",64,54,54,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","RUS",67.75,60.1616161616162,62.3333333333333,7.58838383838384,5.41666666666666,84,68.8571428571429,71,15.1428571428571,13,83,67.4285714285714,68,15.5714285714286,15
"100","SAU",54,49,49,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","SEN",57,49,49,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","SLB",51,44,44,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","SLE",63,49,49,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","SLV",70,49,49,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","SWE",54,49,49,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","SYC",51,49,49,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","TCA",64,49,49,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","TGO",51,49,49,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","THA",69,58.1666666666667,57,10.8333333333333,12,23,21,21,2,2,26,21,21,5,5
"110","TKL",55,49,49,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","TON",69,49,49,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","TTO",61,49,49,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","TWN",63,56.2857142857143,57,6.71428571428571,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","TZA",68,49,49,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","UKR",65,55.3333333333333,58,9.66666666666667,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","URY",67,49,49,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","USA",69.75,62.9375,67.375,6.8125,2.375,92,71.6666666666667,82,20.3333333333333,10,92,71,81,21,11
"118","VEN",58,49,49,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","VIR",73,49,49,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","VUT",51,49,49,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","WSM",73,49,49,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","YEM",63,49,49,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","ZAF",67,55.3333333333333,55.5,11.6666666666667,11.5,80,49,49,31,31,81,49,49,32,32
